final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
19,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.455,0.652,0.437,0.432,0.389,0.361
10,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.712,0.478,0.466,0.392,0.395
11,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.455,0.652,0.437,0.432,0.389,0.361
4,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.685,0.467,0.441,0.423,0.373
20,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.685,0.467,0.441,0.423,0.373
6,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.724,0.444,0.433,0.431,0.376
7,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.685,0.467,0.441,0.423,0.373
4,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.686,0.421,0.428,0.381,0.364
9,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.47,0.712,0.435,0.484,0.391,0.356
13,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
6,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.47,0.66,0.442,0.432,0.42,0.365
24,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.667,0.418,0.456,0.425,0.378
9,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.463,0.66,0.426,0.425,0.38,0.371
10,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.701,0.464,0.472,0.394,0.358
11,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.468,0.712,0.406,0.411,0.404,0.354
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.467,0.705,0.493,0.463,0.407,0.353
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.496,0.688,0.482,0.495,0.411,0.365
2,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.473,0.682,0.45,0.425,0.431,0.37
8,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.455,0.652,0.437,0.432,0.389,0.361
12,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.496,0.688,0.482,0.495,0.411,0.365
11,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.712,0.478,0.466,0.392,0.395
9,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.491,0.732,0.489,0.458,0.406,0.351
2,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.491,0.732,0.489,0.458,0.406,0.351
6,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.468,0.707,0.449,0.436,0.407,0.363
14,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.455,0.652,0.437,0.432,0.389,0.361
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.473,0.682,0.45,0.425,0.431,0.37
13,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.475,0.736,0.421,0.46,0.381,0.368
10,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.475,0.736,0.421,0.46,0.381,0.368
17,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.453,0.676,0.438,0.469,0.407,0.352
16,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.467,0.705,0.493,0.463,0.407,0.353
19,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.714,0.454,0.422,0.397,0.349
4,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.47,0.712,0.435,0.484,0.391,0.356
8,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.49,0.716,0.477,0.453,0.481,0.37
21,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
8,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.491,0.732,0.489,0.458,0.406,0.351
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.468,0.707,0.449,0.436,0.407,0.363
12,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
11,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.49,0.716,0.477,0.453,0.481,0.37
14,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.686,0.421,0.428,0.381,0.364
9,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.463,0.66,0.426,0.425,0.38,0.371
5,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.712,0.478,0.466,0.392,0.395
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.491,0.716,0.471,0.42,0.422,0.376
5,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
10,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
10,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.714,0.454,0.422,0.397,0.349
8,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.667,0.418,0.456,0.425,0.378
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
11,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
9,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.466,0.716,0.507,0.42,0.404,0.359
8,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.701,0.464,0.472,0.394,0.358
14,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
4,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
14,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.712,0.478,0.466,0.392,0.395
6,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.667,0.418,0.456,0.425,0.378
19,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.475,0.736,0.421,0.46,0.381,0.368
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.496,0.753,0.452,0.464,0.454,0.362
11,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.473,0.682,0.45,0.425,0.431,0.37
12,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.466,0.716,0.507,0.42,0.404,0.359
20,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.468,0.707,0.449,0.436,0.407,0.363
9,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.724,0.444,0.433,0.431,0.376
19,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
3,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.468,0.712,0.406,0.411,0.404,0.354
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.47,0.71,0.398,0.434,0.424,0.372
19,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.495,0.694,0.46,0.452,0.43,0.384
14,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.453,0.676,0.438,0.469,0.407,0.352
25,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.473,0.682,0.45,0.425,0.431,0.37
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.491,0.716,0.471,0.42,0.422,0.376
18,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.47,0.66,0.442,0.432,0.42,0.365
25,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.495,0.694,0.46,0.452,0.43,0.384
1,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.466,0.716,0.507,0.42,0.404,0.359
20,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
6,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.686,0.421,0.428,0.381,0.364
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.474,0.724,0.444,0.433,0.431,0.376
10,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.491,0.732,0.489,0.458,0.406,0.351
15,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.47,0.71,0.398,0.434,0.424,0.372
16,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.487,0.685,0.467,0.441,0.423,0.373
0,0.571,0.126,15.7,9.4,10.5,8.7,29.2,115.6,0.515,97.1,0.464,0.714,0.454,0.422,0.397,0.349
